path,delta,avg_time
"Y0,Y0",0.231824461,24351.78846
"Y0,T0",0.157740868,59511.02174
"T0,Y0",0.157130466,56442.80293
"T0,T0",0.154110579,5342.549302
"X0,Y0",0.130497639,252223.2359
"Y0,X0",0.129244707,236125.4213
"Y0,S0",0.1047001,251583.9936
"S0,Y0",0.103929065,235786.0069
"Y0,O0",0.084813827,191188.1881
"O0,Y0",0.083496643,205995.8435
"G0,G0",0.077521123,772.2447766
"O0,T0",0.0770071,12718.42934
"T0,O0",0.075304398,11340.55879
"O0,O0",0.072927041,734.0712182
"N0,N0",0.071288592,5521.814133
"X0,X0",0.070260546,245811.8459
"T0,N0",0.069778649,47773.84593
"N0,T0",0.069296752,51277.48076
"S0,T0",0.068911235,61618.84924
"T0,S0",0.066887268,56476.43765
"S0,S0",0.066373245,41150.64964
"N0,Y0",0.065216693,363998.7612
"X0,T0",0.065120314,379677.8017
"T0,X0",0.064959681,365442.0754
"Y0,N0",0.064060141,362241.9854
"I0,I0",0.06261445,533.2690235
"S0,N0",0.05827738,50680.34978
"O0,N0",0.058052495,6219.512562
"N0,S0",0.057956115,52413.63625
"N0,O0",0.056478299,6421.51421
"T2,T2",0.05230186,219.6210844
"G0,B0",0.050053009,3648.015609
"H0,H0",0.049828123,674.9489
"B2,B2",0.049538985,329.5542385
"C2,C2",0.049281974,326.9017819
"D0,D0",0.049185594,557.3487194
"J0,J0",0.047964789,962.2561795
"B0,G0",0.046454846,2580.18594
"F0,G0",0.04587657,2048.807413
"B0,B0",0.045394673,938.9819239
"O2,O2",0.045330421,173.8642846
"N2,N2",0.044944903,173.0485383
"H0,G0",0.044720018,2483.570784
"G0,F0",0.044720018,1175.873265
"I2,I2",0.044687892,141.7026297
"G0,H0",0.044173868,4231.353199
"C1,C1",0.043627719,187.1775622
"C2,B2",0.043145822,1614.930376
"B2,C2",0.042953063,1428.033648
"X0,O0",0.042567546,138733.4794
"J1,J1",0.041957143,542.6111193
"T1,T1",0.041603752,254.7329367
"G3,G3",0.041571626,295.8211474
"G2,G2",0.041507373,237.4167847
"I1,I1",0.041378867,145.7571934
"C3,C3",0.041218235,799.2658407
"O0,X0",0.041218235,152527.6682
"X0,S0",0.040222315,575778.431
"O1,O1",0.040061683,145.1075525
"S0,X0",0.040061683,518531.9815
"F0,F0",0.039804671,290.5025691
"Y1,Y1",0.03945128,293.5098695
"H3,G3",0.039065763,681.7140676
"G3,H3",0.03900151,723.9396529
"O0,J0",0.038808751,1505.991117
"A2,A2",0.03855174,363.26767
"G1,G1",0.03845536,88.00815321
"D0,I0",0.038358981,2154.441479
"D1,D1",0.038326854,916.1272909
"A2,B2",0.038198349,1135.284303
"I0,N0",0.038166222,2541.476326
"N0,I0",0.038134096,4235.649463
"T2,O2",0.038101969,535.317125
"B2,A2",0.037780705,1174.088418
"H1,H1",0.037716452,136.6381305
"I0,D0",0.037587946,3768.520693
"I0,J0",0.037587946,1156.205738
"O2,T2",0.03755582,992.8081838
"J0,O0",0.037491567,2177.037752
"H3,H3",0.037234555,377.9724904
"I0,H0",0.036977544,3368.481126
"B1,B1",0.036881164,526.9949877
"O2,J2",0.036784785,174.3439166
"C0,C0",0.036720532,237.7411547
"G2,B2",0.036656279,595.1040286
"J0,I0",0.036624153,1760.761645
"H0,I0",0.036624153,2355.35723
"J2,O2",0.035981624,179.2180568
"J2,J2",0.035660359,132.6338111
"B2,G2",0.035660359,507.4162869
"O1,J1",0.035339095,244.5999749
"T1,O1",0.035339095,503.2267595
"N2,I2",0.035306968,294.8043198
"F2,F2",0.035146336,694.5114986
"O2,N2",0.035049957,387.6312769
"N2,O2",0.034985704,443.7409343
"J1,O1",0.034760819,845.6198493
"I2,N2",0.034600186,682.1667544
"Y1,T1",0.03456806,896.9001862
"O1,T1",0.034407428,518.6634545
"I1,J1",0.034246795,716.9150543
"J1,I1",0.03411829,621.4914863
"H2,H2",0.03411829,95.5009428
"O0,S0",0.03411829,48240.5746
"I2,J2",0.033540013,517.9226026
"H1,C1",0.033507887,456.3140334
"J2,I2",0.033507887,126.2684344
"T1,Y1",0.033379381,585.8412199
"I3,H3",0.03312237,826.5132518
"Y2,T2",0.033058117,608.8855054
"C1,H1",0.032865358,474.5094819
"S0,O0",0.032865358,46923.731
"I0,O0",0.032833232,1859.698837
"O0,I0",0.032479841,1754.1252
"N1,N1",0.032351335,172.2670198
"D2,D2",0.032319208,410.4156068
"T2,Y2",0.03203007,434.744545
"H3,I3",0.031965817,1486.78338
"O2,I2",0.031419668,461.8992368
"H2,C2",0.031387541,293.2408459
"N1,O1",0.031323288,635.9385374
"T2,N2",0.031259036,556.7563248
"I2,O2",0.031194783,931.6195287
"D3,D3",0.031162656,628.3693678
"O1,N1",0.03113053,205.9014937
"B1,G1",0.030905645,422.0653659
"C2,H2",0.030745012,368.9445465
"G2,H2",0.030616507,377.6658466
"N2,T2",0.030455874,1331.054623
"H3,C3",0.030295242,1588.641874
"H2,G2",0.030230989,301.5754488
"J0,N0",0.030230989,4882.492114
"N2,J2",0.030198863,532.6650141
"I3,I3",0.03013461,361.1293658
"G1,H1",0.029973978,228.3529258
"X2,X2",0.029941851,962.2002634
"C3,H3",0.029909725,309.2161605
"A2,G2",0.029813345,2059.033295
"G2,A2",0.029813345,2746.093959
"H1,G1",0.029813345,625.2464244
"G1,B1",0.029749092,177.5168937
"B3,G3",0.029492081,75.68770923
"N0,J0",0.029492081,5430.022132
"D3,C3",0.029492081,2461.778697
"X2,T2",0.029299322,3620.975251
"B1,C1",0.029202943,223.1953355
"I1,O1",0.029170816,1704.890172
"J2,N2",0.02913869,505.5418471
"J2,E2",0.02913869,507.1576974
"C1,B1",0.02913869,525.3583921
"O1,I1",0.029042311,356.7383234
"G3,B3",0.028945931,966.7857776
"C0,H0",0.028849552,1592.956673
"F2,A2",0.028849552,1026.159453
"N0,X0",0.028721046,612110.7014
"A2,F2",0.028560414,1269.576403
"C1,D1",0.028399782,1985.637703
"I1,N1",0.028335529,1010.716822
"H0,C0",0.028271276,1877.357196
"C3,G3",0.028271276,1913.821924
"F0,B0",0.02814277,4864.833041
"D1,C1",0.02814277,2239.395817
"G3,C3",0.028078517,3503.012963
"N1,I1",0.028046391,645.700599
"E2,E2",0.028046391,9455.511565
"H2,I2",0.027950011,206.4398225
"C3,D3",0.027853632,3018.014104
"C0,D0",0.027789379,973.3290785
"B0,F0",0.027757253,4226.673058
"I1,H1",0.027757253,1225.233902
"I1,D1",0.027725126,1418.645213
"I2,H2",0.027693,764.2833415
"G2,C2",0.027435988,1480.895473
"D0,C0",0.027403862,1117.121258
"C2,D2",0.027371735,1112.769108
"D1,I1",0.027339609,1532.526188
"F3,F3",0.027275356,1809.714773
"H1,I1",0.027275356,493.0161301
"F1,F1",0.027275356,365.5823472
"T2,X2",0.027243229,1423.885371
"G2,F2",0.027114724,2923.049093
"E2,J2",0.026921965,1052.59612
"J0,T0",0.026889838,44409.28991
"C2,G2",0.026729206,1828.872091
"S2,T2",0.02669708,624.8309464
"T0,J0",0.0266007,41752.92848
"B3,B3",0.026536447,37.12237755
"D2,C2",0.026407942,2207.355133
"F1,G1",0.026375815,400.0475589
"D0,D1",0.026375815,1264.064795
"F2,G2",0.026311562,2703.797609
"T2,S2",0.026215183,202.15569
"D1,D0",0.025765413,4091.69428
"G1,F1",0.025669033,209.046184
"X0,N0",0.025412022,592771.2978
"I2,D2",0.025412022,638.8138928
"D2,I2",0.024737366,958.6782546
"A0,G0",0.02470524,5746.144011
"G3,F3",0.024640987,1227.78667
"C1,I1",0.024448228,1605.429037
"B2,F2",0.024319722,3482.109881
"C1,G1",0.02415909,1065.241475
"F2,B2",0.024126964,2502.92404
"N1,J1",0.024030584,1029.303641
"G0,A0",0.023934205,10154.80004
"B3,C3",0.023902079,391.176767
"S2,S2",0.023869952,124.854915
"G1,C1",0.023837826,492.4839859
"N1,T1",0.023805699,2262.624734
"J1,N1",0.023805699,3072.537051
"C3,B3",0.023773573,636.596049
"F3,G3",0.023741446,2101.919595
"T1,N1",0.023677193,1023.398584
"G0,C0",0.023420182,12989.8948
"H1,B1",0.023355929,1569.577445
"F0,A0",0.023323802,4868.580906
"I1,C1",0.023227423,2856.316354
"C0,G0",0.023131044,9260.281273
"B1,H1",0.023098917,296.9684839
"S2,N2",0.023034664,359.0387922
"A1,B1",0.022970412,1124.871752
"C2,I2",0.022906159,3204.312958
"I3,G3",0.022745526,6047.559706
"B1,A1",0.022617021,1106.037746
"N2,S2",0.022552768,328.9579976
"I2,E2",0.022456388,747.7820211
"B0,A0",0.022456388,5076.750194
"A0,F0",0.022135124,2739.159916
"G3,I3",0.022070871,4854.503157
"E2,I2",0.022070871,1065.832946
"A1,A1",0.022038744,211.4724414
"F1,B1",0.022038744,1410.52228
"B1,F1",0.021910239,670.3739527
"A0,B0",0.021845986,6487.518539
"D0,C2",0.02171748,3179.456429
"Y2,Y2",0.021588974,1513.07579
"I2,C2",0.021107077,2611.736584
"Y1,O1",0.021107077,5170.869934
"D0,H0",0.020946445,5694.709563
"C0,I0",0.020914319,2566.658039
"H0,D0",0.020882192,6183.23537
"D3,H3",0.020882192,1794.900324
"B2,H2",0.020560928,739.5632978
"C2,D0",0.020528801,7547.330068
"T1,J1",0.020496675,1954.265533
"H3,D3",0.020400296,3955.301216
"C0,B0",0.020336043,7235.098083
"D3,I3",0.02027179,4712.956366
"A0,A0",0.020207537,1018.449396
"I0,C0",0.020207537,4717.776128
"X2,Y2",0.02017541,3398.619522
"B0,H0",0.020143284,5712.70224
"S2,X2",0.020143284,793.999859
"H2,B2",0.020111158,1089.699507
"X2,S2",0.020111158,514.9586008
"D1,C2",0.019886272,4864.888537
"Y2,X2",0.019854146,488.5693046
"H0,B0",0.019822019,6806.020825
"O2,E2",0.01972564,2247.654006
"B0,C0",0.019693514,8838.15648
"C3,I3",0.019597134,4480.65802
"O1,Y1",0.019565008,3503.980749
"J1,T1",0.019436502,7356.587795
"B3,H3",0.019436502,32.38681429
"E2,O2",0.019404376,7889.937425
"C2,D1",0.019243743,6183.753044
"I0,T0",0.01917949,46685.28798
"H3,B3",0.01917949,546.9616955
"Y0,J0",0.019147364,559006.6901
"I3,D3",0.019018858,5179.48145
"S2,O2",0.018954605,1286.010145
"N2,H2",0.018890352,2334.311386
"T0,I0",0.0188261,52180.26772
"O2,S2",0.0188261,1103.662368
"I3,C3",0.018761847,3719.181713
"E2,N2",0.018761847,6638.609382
"I0,G0",0.018633341,19950.34928
"G0,I0",0.018601214,36605.54251
"J0,Y0",0.018440582,558814.1011
"H2,N2",0.018440582,2731.764009
"I2,T2",0.018408456,4987.664937
"F1,A1",0.018215697,1191.219859
"N2,E2",0.017798053,1029.131656
"T1,I1",0.017798053,2859.553852
"I1,T1",0.017669547,8072.181324
"A1,G1",0.017541042,290.1628321
"I0,D1",0.017316156,7181.807006
"T2,I2",0.01728403,1067.651028
"H1,D1",0.017155524,1304.571607
"A1,F1",0.017123398,366.8162873
"I3,J3",0.017123398,2831.005956
"I0,C2",0.017123398,6641.037956
"H1,J1",0.017091271,1263.920802
"J1,H1",0.016994892,2646.932238
"D1,I0",0.016866386,13040.19243
"J3,I3",0.01673788,5824.467072
"G1,A1",0.01673788,559.9919446
"B3,F3",0.016705754,59.56178421
"D1,H1",0.016705754,3061.766046
"H2,D2",0.016641501,807.4236021
"F3,B3",0.016545122,4027.582416
"D3,G3",0.016448742,11089.35886
"G3,D3",0.016416616,9033.215248
"A2,C2",0.016416616,10485.73626
"D2,H2",0.016320236,2640.442167
"Y2,O2",0.01628811,754.8878367
"C2,A2",0.01628811,17125.62995
"C2,I0",0.016223857,12014.07091
"G3,A3",0.016223857,20746.79016
"J2,D2",0.015998972,952.8397089
"F1,H1",0.015870466,1581.369363
"O2,Y2",0.015870466,1243.695019
"Y2,N2",0.015806213,2227.689657
"D1,J1",0.015677707,4769.622061
"N2,Y2",0.015677707,1861.312003
"D0,E0",0.015517075,1444.463143
"A3,G3",0.015420696,8330.366917
"N1,H1",0.015420696,4239.374917
"D2,E2",0.015420696,1866.268549
"J1,D1",0.015388569,6233.839582
"F3,A3",0.015388569,19782.51487
"E0,D0",0.015260064,3064.802288
"H1,F1",0.015227937,4668.028602
"H1,N1",0.015195811,1246.808724
"A3,F3",0.015195811,21545.67236
"B3,A3",0.015163684,402.7304747
"C3,Y0",0.015163684,1180509.221
"E2,D2",0.015131558,3145.793185
"D2,J2",0.015003052,2135.962417
"N0,H0",0.014970926,37256.73273
"T2,J2",0.014906673,1381.128536
"S0,J0",0.014906673,55401.61554
"J1,C1",0.014874546,4475.779325
"Y0,G0",0.014874546,1423124.306
"E0,E0",0.014810293,1136.985734
"C1,J1",0.01474604,2439.424796
"J0,S0",0.014713914,47880.6756
"J2,T2",0.014649661,4431.072562
"H0,N0",0.014585408,14715.57069
"T1,S1",0.014489029,58.7008751
"M2,N2",0.014456902,546.835443
"N2,M2",0.014456902,139.546634
"S1,T1",0.014328397,784.8996609
"Y2,S2",0.014328397,523.5207052
"S0,I0",0.014232017,54486.02706
"Y0,C3",0.014232017,802868.1365
"I0,Y0",0.014071385,366366.0748
"N2,X2",0.014007132,4211.323479
"G2,I2",0.013942879,5038.295947
"Y0,I0",0.013910753,331892.7021
"F3,H3",0.013685868,6823.082446
"I0,S0",0.013653741,46583.46241
"G3,Y0",0.013653741,925356.2759
"A3,B3",0.013589488,1914.854987
"Y0,G3",0.013525235,719040.4143
"X2,N2",0.013493109,5615.596619
"E3,E3",0.013460982,1158.415781
