path,time_slot,avg_time,total_time,occurrences
"A0,A0",1,101.50877192982458,5786,57
"A0,A0",2,74.368421052631575,12717,171
"A0,A0",3,80.960463359355344,964482,11913
"A0,A0",4,45.819524727039187,71341,1557
"A0,A1",3,38.666666666666671,928,24
"A0,A2",3,765.84482758620686,44419,58
"A0,B0",1,88.1578947368421,3350,38
"A0,B0",2,36.4,2730,75
"A0,B0",3,71.962476979742135,625210,8688
"A0,B0",4,42.099190283400809,41594,988
"A0,B1",3,193.27586206896549,5605,29
"A0,B2",3,1390.8431372549019,70933,51
"A0,B3",3,262.0,3406,13
"A0,C0",3,243.679802955665,49467,203
"A0,C0",4,118.94999999999997,11895,100
"A0,C1",3,456.60606060606062,15068,33
"A0,C2",3,131.24074074074073,7087,54
"A0,C2",4,61.25,1225,20
"A0,C3",3,282.15151515151513,9311,33
"A0,D0",3,661.875,37065,56
"A0,D0",4,140.45000000000002,2809,20
"A0,D1",3,558.38709677419354,17310,31
"A0,D1",4,49.999999999999993,600,12
"A0,D2",3,153.8235294117647,2615,17
"A0,D2",4,55.363636363636367,609,11
"A0,D3",3,221.4411764705882,7529,34
"A0,E2",3,48.583333333333336,583,12
"A0,F0",1,28.519999999999996,1426,50
"A0,F0",2,168.05263157894737,9579,57
"A0,F0",3,106.84802373432863,1116455,10449
"A0,F0",4,35.503060656649993,63799,1797
"A0,F1",3,60.000000000000007,3060,51
"A0,F2",3,847.61904761904759,17800,21
"A0,G0",1,180.93333333333334,2714,15
"A0,G0",2,322.21428571428578,9022,28
"A0,G0",3,144.39053598418784,1241903,8601
"A0,G0",4,38.665021156558552,54827,1418
"A0,G1",3,280.95833333333343,13486,48
"A0,G2",3,616.1111111111112,16635,27
"A0,G2",4,47.090909090909093,518,11
"A0,G3",3,543.9375,17406,32
"A0,H0",3,329.37421383647808,104741,318
"A0,H0",4,66.888888888888886,3612,54
"A0,H1",3,1040.2399999999998,26006,25
"A0,H2",3,76.434782608695656,1758,23
"A0,H3",3,85.916666666666671,2062,24
"A0,I0",3,774.09278350515444,75087,97
"A0,I0",4,82.925925925925924,2239,27
"A0,I1",3,364.47368421052636,6925,19
"A0,I2",3,174.16666666666669,5225,30
"A0,I3",3,78.583333333333343,2829,36
"A0,J0",3,808.4375,25870,32
"A0,J0",4,47.416666666666671,569,12
"A0,J1",3,1274.8095238095236,26771,21
"A0,J2",3,637.43478260869563,14661,23
"A0,J3",3,41.687499999999993,667,16
"A0,M0",3,15.411764705882353,262,17
"A0,N0",3,974.31578947368416,18512,19
"A0,N1",3,485.36363636363637,5339,11
"A0,N2",3,1043.5185185185182,28175,27
"A0,O0",3,1621.7222222222224,29191,18
"A0,O1",3,1926.2285714285717,67418,35
"A0,O2",3,457.76,11444,25
"A0,S0",3,1353.181818181818,14885,11
"A0,S2",3,758.68421052631572,14415,19
"A0,T0",3,1360.8235294117646,23134,17
"A0,T1",3,650.4,16260,25
"A0,T2",3,1331.0333333333333,39931,30
"A0,Y0",3,2376.0,33264,14
"A0,Y1",3,12.571428571428571,264,21
"A1,A0",3,25.15789473684211,478,19
"A1,A1",1,65.835526315789451,20014,304
"A1,A1",2,83.517890772128084,88696,1062
"A1,A1",3,49.931048279541194,11231490,224940
"A1,A1",4,58.637551639828025,695500,11861
"A1,A2",1,175.49999999999997,2457,14
"A1,A2",3,1039.0104895104894,297157,286
"A1,B0",3,175.3235294117647,5961,34
"A1,B1",1,45.625000000000007,4380,96
"A1,B1",2,87.301923076923046,45397,520
"A1,B1",3,85.909990351723522,4897299,57005
"A1,B1",4,98.9195893926433,231274,2338
"A1,B2",3,668.83146067415737,119052,178
"A1,B3",3,37.366666666666674,1121,30
"A1,C0",3,236.78260869565221,5446,23
"A1,C1",1,32.25,387,12
"A1,C1",2,27.324786324786327,3197,117
"A1,C1",3,63.866569714597325,351330,5501
"A1,C1",4,51.263492063492066,16148,315
"A1,C2",3,80.642857142857139,6774,84
"A1,C2",4,88.538461538461519,1151,13
"A1,C3",3,195.73076923076928,10178,52
"A1,D0",3,149.61904761904762,12568,84
"A1,D1",3,47.877419354838715,7421,155
"A1,D1",4,222.99999999999997,5798,26
"A1,D2",3,66.166666666666657,2779,42
"A1,D3",3,69.237288135593218,4085,59
"A1,E1",3,1953.5714285714282,27350,14
"A1,E2",3,296.5384615384616,3855,13
"A1,F0",3,100.9714285714286,3534,35
"A1,F1",1,49.214814814814837,13288,270
"A1,F1",2,47.817042606516296,19079,399
"A1,F1",3,55.847987034513245,3032434,54298
"A1,F1",4,68.1860946745562,230469,3380
"A1,F2",3,1212.194805194805,186678,154
"A1,F3",3,1399.7463768115938,193165,138
"A1,G0",3,371.62790697674427,15980,43
"A1,G1",1,89.395061728395049,7241,81
"A1,G1",2,66.154241645244227,25734,389
"A1,G1",3,62.186084799278319,2757331,44340
"A1,G1",4,82.468299081766517,188605,2287
"A1,G2",3,278.05747126436785,24191,87
"A1,G3",3,294.5,30039,102
"A1,H0",3,80.428571428571431,2815,35
"A1,H1",2,28.103448275862068,815,29
"A1,H1",3,48.628514056224908,96868,1992
"A1,H1",4,43.584615384615383,2833,65
"A1,H2",3,59.324324324324323,2195,37
"A1,H3",3,72.65625,4650,64
"A1,I0",3,117.06593406593409,10653,91
"A1,I1",3,143.44394618834079,31988,223
"A1,I1",4,730.5625,11689,16
"A1,I2",3,141.76470588235298,9640,68
"A1,I3",3,146.82608695652175,3377,23
"A1,J0",3,286.06250000000006,9154,32
"A1,J1",3,252.75471698113193,13396,53
"A1,J2",3,154.88000000000002,3872,25
"A1,L1",3,10.107142857142858,283,28
"A1,M1",3,41.582089552238806,2786,67
"A1,N0",3,32.720000000000006,818,25
"A1,N1",3,57.537037037037038,3107,54
"A1,N2",3,84.557142857142864,5919,70
"A1,O0",3,75.416666666666671,2715,36
"A1,O1",3,303.34210526315786,11527,38
"A1,O2",3,101.14634146341463,4147,41
"A1,R1",3,13.66666666666667,246,18
"A1,S1",3,61.5,1107,18
"A1,S2",3,88.296296296296276,2384,27
"A1,T0",3,184.25000000000006,8107,44
"A1,T1",3,288.82352941176475,4910,17
"A1,T2",3,434.78947368421058,24783,57
"A1,Y0",3,364.45833333333337,8747,24
"A1,Y1",3,773.30000000000018,15466,20
"A1,Y2",3,2175.6153846153848,28283,13
"A2,A0",3,465.55882352941171,31658,68
"A2,A1",2,15.818181818181818,174,11
"A2,A1",3,958.920792079208,290553,303
"A2,A1",4,28.000000000000007,364,13
"A2,A2",1,90.536028119507918,51515,569
"A2,A2",2,85.171142141066937,475766,5586
"A2,A2",3,56.299209010901457,77723873,1380550
"A2,A2",4,70.878977095336751,7491837,105699
"A2,A3",3,451.87096774193549,56032,124
